Vivado Simulator 2020.2
Time resolution is 1 ps
WARNING: Too many words specified in data file mini_conv0_kernel.txt
WARNING: Too many words specified in data file mini_conv0_bias.txt
WARNING: Too many words specified in data file mini_conv1_kernel.txt
WARNING: Too many words specified in data file mini_conv1_bias.txt
WARNING: Too many words specified in data file mini_conv2_kernel.txt
WARNING: Too many words specified in data file mini_conv2_bias.txt
At time                    0, clk = 0, resetn = 0, buffer_1_valid_i = 0, dense_out = xxxxxxxxxxxxxx, dense_valid = x
At time               660000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               665000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               670000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               675000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               680000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               685000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               690000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               695000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               700000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               705000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               710000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               715000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               720000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               725000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               730000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               735000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               740000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               745000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               750000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               755000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               760000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               765000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               770000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               775000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               780000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               785000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               790000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               795000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               800000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               805000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               810000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               815000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               820000, clk = 0, resetn = 1, buffer_1_valid_i = 1, dense_out = aa8dae100f3299, dense_valid = 0
At time               825000, clk = 1, resetn = 1, buffer_1_valid_i = 1, dense_out = aa8dae100f3299, dense_valid = 0
At time               830000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               835000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               840000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               845000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               850000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               855000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               860000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               865000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               870000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               875000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               880000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               885000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               890000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               895000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               900000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               905000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               910000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               915000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               920000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               925000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               930000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               935000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               940000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               945000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               950000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               955000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               960000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               965000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               970000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               975000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               980000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               985000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               990000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               995000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time              1000000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
WARNING: Too many words specified in data file mini_conv0_kernel.txt
WARNING: Too many words specified in data file mini_conv0_bias.txt
WARNING: Too many words specified in data file mini_conv1_kernel.txt
WARNING: Too many words specified in data file mini_conv1_bias.txt
WARNING: Too many words specified in data file mini_conv2_kernel.txt
WARNING: Too many words specified in data file mini_conv2_bias.txt
At time                    0, clk = 0, resetn = 0, buffer_1_valid_i = 0, dense_out = xxxxxxxxxxxxxx, dense_valid = x
At time                 5000, clk = 1, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                10000, clk = 0, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                15000, clk = 1, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                20000, clk = 0, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                25000, clk = 1, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
